r1_s1,r2_s1,r3_s1,r4_s1,r5_s1,r6_s1,r7_s1,r8_s1,r9_s1,r10_s1,c1_s1,c2_s1,c3_s1,outside_s1,r1_s2,r2_s2,r3_s2,r4_s2,r5_s2,r6_s2,r7_s2,r8_s2,r9_s2,r10_s2,c1_s2,c2_s2,c3_s2,outside_s2,r1_s3,r2_s3,r3_s3,r4_s3,r5_s3,r6_s3,r7_s3,r8_s3,r9_s3,r10_s3,c1_s3,c2_s3,c3_s3,outside_s3
0.7469879518072289,0.17857142857142858,0.10344827586206896,0.225,0.007633587786259542,0.09090909090909091,0.2727272727272727,0.0,0.03333333333333333,0.0875,0.18604651162790697,0.0,0.0962962962962963,0,0.6245101531884574,0.1982485278574664,0.14103807906863933,0.20441389290882778,0.11889771406431615,0.31401320616287604,0.19659332860184528,0.20433092726263188,0.18101233299075026,0.12176949941792782,0.14113650401482397,0.25185528756957326,0.09899328859060402,0.38271604938271603,0.5833333333333333,0.07142857142857142,0.0,0.0,0.0,0,0.0,0,0.0,0.0625,0.0,0.0,0.02631578947368421,0.0
0.08433734939759036,0.4821428571428571,0.05172413793103448,0.2,0.030534351145038167,0.18181818181818182,0.13636363636363635,0.125,0.06666666666666667,0.1,0.19767441860465115,0.20512820512820512,0.15555555555555556,0,0.1150694691841824,0.49282802355428057,0.08064516129032258,0.17908827785817655,0.03641999225106548,0.10638297872340426,0.19446415897799857,0.17656857301499168,0.06924460431654676,0.15948777648428406,0.17418159357628166,0.16419294990723562,0.136996644295302,0.2716049382716049,0.16666666666666666,0.5714285714285714,0.0004901960784313725,0.0,0.08108108108108109,0,0.25,0,0.3333333333333333,0.0625,0.0,0.045454545454545456,0.0,0.0
0.07228915662650602,0.08928571428571429,0.5,0.0,0.06870229007633588,0.18181818181818182,0.09090909090909091,0.25,0.26666666666666666,0.0125,0.011627906976744186,0.1282051282051282,0.022222222222222223,0,0.07855361596009976,0.09421712215008304,0.5885277710405045,0.11685962373371925,0.054533126695079426,0.11665443873807776,0.10716820440028389,0.11771238200999445,0.06654676258992806,0.10966239813736903,0.14129092032118593,0.10111317254174397,0.08548657718120806,0.13168724279835392,0.0,0.14285714285714285,0.5078431372549019,0.1111111111111111,0.0,0,0.0,0,0.0,0.375,0.34210526315789475,0.18181818181818182,0.23684210526315788,0.32067968185104845
0.024096385542168676,0.10714285714285714,0.05172413793103448,0.25,0.1297709923664122,0.0,0.045454545454545456,0.0,0.36666666666666664,0.05,0.09302325581395349,0.1794871794871795,0.02962962962962963,0,0.031350195938724616,0.049675373697720064,0.04159592529711375,0.3589001447178003,0.044217357613328165,0.0719002201027146,0.04009936124911285,0.046640755136035536,0.047147995889003085,0.02619324796274738,0.03752316244595429,0.05102040816326531,0.02172818791946309,0.053497942386831275,0.08333333333333333,0.0,0.0004901960784313725,0.11111111111111116,0.0,0,0.0,0,0.16666666666666666,0.1875,0.0,0.045454545454545456,0.02631578947368421,0.00036153289949385393
0.0,0.017857142857142856,0.0,0.225,0.4427480916030534,0.0,0.0,0.0,0.0,0.1125,0.12790697674418605,0.0,0.1111111111111111,0,0.0840755254720342,0.04484372640797222,0.05335920446276983,0.07670043415340087,0.36836497481596275,0.049889948642699924,0.10468417317246274,0.09550249861188229,0.0035971223021582736,0.23771827706635623,0.17063001852995677,0.03339517625231911,0.18171140939597316,0.04938271604938271,0.08333333333333333,0.21428571428571427,0.0,0.0,0.3783783783783784,0,0.0,0,0.0,0.25,0.0,0.0,0.23684210526315788,0.0
0.012048192771084338,0.0,0.0,0.0,0.007633587786259542,0.5454545454545454,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0,0.0020484503028143928,0.002868790578287785,0.002910502061605627,0.00361794500723589,0.004213483146067416,0.14966984592809973,0.00319375443577005,0.001110494169905608,0.0017985611510791368,0.0037252619324796275,0.0024706609017912293,0.0055658627087198514,0.003523489932885906,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.017857142857142856,0.0,0.025,0.03816793893129771,0.0,0.40909090909090906,0.0,0.0,0.0125,0.0,0.0,0.007407407407407408,0,0.016654791592447454,0.030952740449947155,0.02425418384671356,0.015918958031837915,0.057099961255327396,0.06382978723404255,0.3030518097941802,0.02609661299278179,0.04984583761562179,0.002910360884749709,0.0012353304508956147,0.025974025974025976,0.008473154362416108,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0,0.006145350908443177,0.009663294579495697,0.006427358719379093,0.007959479015918957,0.029784967067028285,0.03008070432868672,0.01100070972320795,0.30816213214880617,0.02068345323741007,0.0013969732246798604,0.0006176652254478073,0.0074211502782931356,0.0015939597315436241,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0,0.006679729248307802,0.008908349690472595,0.0025466893039049238,0.001808972503617945,0.00833010461061604,0.004402054292002935,0.0010645848119233499,0.002220988339811216,0.4726361767728674,0.001979045401629802,0.0010809141445336627,0.008812615955473098,0.0015100671140939597,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.55,0.046511627906976744,0.0,0.0,0,0.02413608835055219,0.0446927374301676,0.040989570700945915,0.01808972503617945,0.1621948857032158,0.07703595011005136,0.01667849538679915,0.014991671293725709,0.0683453237410072,0.31315483119906873,0.0015441630636195182,0.02922077922077922,0.013590604026845638,0.00823045267489712,0.0,0.0,0.0004901960784313725,0.2222222222222222,0.32432432432432434,0,0.0,0,0.0,0.0625,0.02631578947368421,0.045454545454545456,0.05263157894736842,0.0
0.0,0.08928571428571429,0.15517241379310345,0.075,0.16030534351145037,0.0,0.0,0.0,0.13333333333333333,0.0375,0.3023255813953488,0.05128205128205128,0.0,0,0.006679729248307802,0.01162615129095576,0.014916323065728838,0.015557163531114327,0.06925610228593568,0.013939838591342627,0.0106458481192335,0.004441976679622432,0.01605858170606372,0.005238649592549476,0.32550957381099443,0.00927643784786642,0.0003355704697986577,0.00411522633744856,0.0,0.0,0.003431372549019608,0.0,0.05405405405405406,0,0.0,0,0.0,0.0,0.631578947368421,0.0,0.0,0.0
0.0,0.0,0.1206896551724138,0.0,0.015267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,0.4358974358974359,0.0,0,0.0009796936230851443,0.002868790578287785,0.0009701673538685423,0.0,0.006296009298721426,0.001467351430667645,0.00248403122782115,0.000555247084952804,0.0020554984583761563,0.0027939464493597207,0.002007411982705374,0.30890538033395176,0.0013422818791946308,0.0,0.08333333333333333,0.0,0.0004901960784313725,0.0,0.05405405405405406,0,0.0,0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0
0.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.5629629629629629,0,0.0024937655860349127,0.008606371734863356,0.0014552510308028135,0.001085383502170767,0.04010073614877954,0.0007336757153338225,0.008871540099361249,0.001665741254858412,0.0008992805755395684,0.013620488940628638,0.0006176652254478073,0.003246753246753247,0.4443791946308725,0.0,0.0,0.0,0.0029411764705882353,0.2222222222222222,0.08108108108108109,0,0.0,0,0.0,0.0,0.0,0.045454545454545456,0.42105263157894735,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.00012127091923356779,0.0,0.00014529252227818675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172845,0.0,0.0,0.4338235294117647,0.3333333333333333,0.02702702702702703,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6760665220535069
